,# cysts,# detected,# missed,# wrong,# recall,iou,precision,recall
IF TUBI 18.12.2020_DBD+T4 14 A 40X11,8.0,5.0,3.0,1.0,0.6249921875976551,0.606387852608155,0.9055810771185613,0.6473136309648572
IF TUBI 18.12.2020_DBD 18 A 40X31,2.0,1.0,1.0,2.0,0.49997500124993743,0.44229707344008834,0.5430508474576271,0.7044854881266491
IF TUBI 18.12.2020_CTRL 6 A 40X26,1.0,1.0,0.0,0.0,0.9999000099990001,0.8804542737597131,0.9879275653923542,0.8900302114803625
TUBI 29-30.07.2020_LM609+T4 19 40x4 side B,7.0,5.0,2.0,4.0,0.7142755103498521,0.6413431769468921,0.7673093361192895,0.7961959199763476
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x4",2.0,1.0,1.0,0.0,0.49997500124993743,0.21473443746430612,0.9868766404199475,0.21534936998854526
IF ADPKD tubules 9-17.10.19 _Resv 24 40X17,3.0,1.0,2.0,0.0,0.3333222225925802,0.22108208955223882,0.9916317991631799,0.22149532710280373
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X22,4.0,4.0,0.0,1.0,0.9999750006249845,0.7831472435450104,0.8983390034020412,0.8593032159264931
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X23,5.0,3.0,2.0,0.0,0.5999880002399952,0.803272522098928,0.9376509330406148,0.8485992449831115
TUBI 29-30.07.2020_LM609+T4 19 40x30 side A,1.0,1.0,0.0,1.0,0.9999000099990001,0.646551724137931,0.6976744186046512,0.8982035928143712
IF 4-12.09.19 40x1 CTRL tubo 11 (3),4.0,3.0,1.0,0.0,0.7499812504687383,0.843479653957065,0.959890610756609,0.8742942544005314
IF 4-12.09.19 RESV  TUBO 17 40X1 (20),3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
IF TUBI 18.12.2020_CTRL 6 A 40X13,8.0,6.0,2.0,3.0,0.7499906251171861,0.7558381502890174,0.885028427037271,0.8381334928638577
IF ADPKD tubules 9-17.10.19 _CTRL 2 40X8,1.0,1.0,0.0,1.0,0.9999000099990001,0.707667731629393,0.7214983713355049,0.9736263736263736
IF ADPKD tubules 9-17.10.19 _Tetrac 8 40X6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x12",3.0,2.0,1.0,0.0,0.6666444451851604,0.6922310756972112,0.9187045604758758,0.7374005305039788
TUBI 29-30.07.2020_LM609+T4 19 40x1 side A,2.0,2.0,0.0,1.0,0.9999500024998749,0.7327647476901208,0.8017107309486781,0.8949652777777778
TUBI 29-30.07.2020_T4 2 40x48 side A,5.0,4.0,1.0,2.0,0.7999840003199936,0.7108585858585859,0.8191076624636275,0.8432351472790813
IF ADPKD tubules 9-17.10.19 _T3 31 40X3,4.0,3.0,1.0,0.0,0.7499812504687383,0.2450736876966385,0.9325771896660365,0.2494942683749157
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  B 40x6",4.0,3.0,1.0,0.0,0.7499812504687383,0.6549182954181352,0.8964912280701754,0.7084922010398613
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO+T4 14 lato B 40x5",2.0,1.0,1.0,0.0,0.49997500124993743,0.7170693686671863,0.9218436873747495,0.7634854771784232
IF TUBI 18.12.2020_CTRL 6 B 40X19,6.0,6.0,0.0,1.0,0.9999833336111065,0.9131965521427704,0.9559636525386033,0.9532982700716051
IF TUBI 18.12.2020_CTRL 6 A 40X34,5.0,3.0,2.0,0.0,0.5999880002399952,0.47893175074183975,0.9354714064914992,0.49529459901800327
TUBI 29-30.07.2020_T4 2 40x5 side B,2.0,2.0,0.0,1.0,0.9999500024998749,0.6707818930041153,0.7042726836293807,0.9338001273074474
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X3,2.0,2.0,0.0,0.0,0.9999500024998749,0.8354341736694678,0.9240898528272656,0.8969924812030076
TUBI 29-30.07.2020_T4 2 40x45 side A,1.0,1.0,0.0,0.0,0.9999000099990001,0.8607954545454546,0.9528301886792453,0.8991097922848664
TUBULI ADPKD 11.12.2020_T4 12 A 40X27,4.0,4.0,0.0,0.0,0.9999750006249845,0.9003180173264612,0.9194758651584723,0.9773809523809524
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO+T4 14 lato B 40x3",2.0,2.0,0.0,1.0,0.9999500024998749,0.7443286327406499,0.8591648973814578,0.8477653631284916
TUBULI ADPKD 11.12.2020_T4 12 A 40X11,5.0,5.0,0.0,2.0,0.999980000399992,0.8278764122665437,0.9138457622804785,0.8979617356508691
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X4,6.0,6.0,0.0,2.0,0.9999833336111065,0.7554576406969757,0.8484030589293747,0.8733503125723547
TUBULI ADPKD 11.12.2020_T4 12 A 40X28,4.0,3.0,1.0,4.0,0.7499812504687383,0.8081120231772091,0.8467921473385954,0.946499264789051
TUBI 29-30.07.2020_LM609+T4 19 40x9 side A,3.0,3.0,0.0,6.0,0.9999666677777407,0.42264665757162345,0.42554945054945054,0.9841168996188056
IF TUBI 18.12.2020_DBD+T4 14 B 40X9,4.0,3.0,1.0,1.0,0.7499812504687383,0.5149863760217984,0.6342281879194631,0.7325581395348837
IF ADPKD tubules 9-17.10.19 _Resv 24 40X19,2.0,1.0,1.0,0.0,0.49997500124993743,0.601708489054992,0.9774501300954033,0.6101786681104494
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO+T4 14 lato  A 40x6",3.0,2.0,1.0,1.0,0.6666444451851604,0.5559782608695653,0.7839080459770115,0.6566110397946084
IF TUBI 18.12.2020_DBD 18 B 40X10,4.0,4.0,0.0,0.0,0.9999750006249845,0.8001667262117423,0.8906415694591728,0.8873481246698363
IF TUBI 18.12.2020_T4 2 B 40X13,7.0,6.0,1.0,2.0,0.8571306124198226,0.5128000910228695,0.6661247413538279,0.6901990811638591
IF ADPKD tubules 9-17.10.19 _T4 15 40X4,6.0,5.0,1.0,0.0,0.8333194446759221,0.8528961469762695,0.9638119953863898,0.8811124291551338
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X19,2.0,2.0,0.0,0.0,0.9999500024998749,0.9181286549707602,0.9519959575543203,0.9626980071538068
IF TUBI 18.12.2020_CTRL 6 B 40X33,3.0,3.0,0.0,0.0,0.9999666677777407,0.794855305466238,0.9038391224862888,0.8682824025289779
IF TUBI 18.12.2020_CTRL 6 B 40X43,6.0,3.0,3.0,0.0,0.49999166680555324,0.6927811044577512,0.8669858451290591,0.7751721570817048
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X5,3.0,3.0,0.0,0.0,0.9999666677777407,0.8271801400381922,0.8906785469499657,0.9206517888770811
IF 4-12.09.19 40x1 T3 tubo 7 (24),11.0,6.0,5.0,0.0,0.545449586821938,0.5428984364735252,0.9306306306306307,0.5657948788169246
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X33,3.0,3.0,0.0,0.0,0.9999666677777407,0.7532175032175032,0.9341580207501995,0.7954468229697588
IF TUBI 18.12.2020_CTRL 6 A 40X35,3.0,2.0,1.0,0.0,0.6666444451851604,0.6229538013823208,0.9647887323943662,0.6374464917178485
IF TUBI 18.12.2020_DBD+T4 14 A 40X7,2.0,2.0,0.0,0.0,0.9999500024998749,0.8443443443443444,0.8740932642487047,0.9612535612535612
TUBULI ADPKD 11.12.2020_T4 12 A 40X36,3.0,2.0,1.0,0.0,0.6666444451851604,0.8152627189324437,0.9300666032350142,0.8685028876055086
IF TUBI 18.12.2020_DBD 18 A 40X20,2.0,2.0,0.0,1.0,0.9999500024998749,0.7067610062893082,0.787215411558669,0.8736637512147716
IF TUBI 18.12.2020_CTRL 6 B 40X26,6.0,5.0,1.0,0.0,0.8333194446759221,0.707979160954209,0.8830369357045144,0.7812405446293494
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato B 40x14",7.0,7.0,0.0,0.0,0.999985714489793,0.7736780006435696,0.8799560814932292,0.8649718191629692
TUBULI ADPKD 11.12.2020_DBD+T4 13 B 40X11,2.0,2.0,0.0,0.0,0.9999500024998749,0.8131749460043196,0.8869257950530035,0.9072289156626506
TUBI 29-30.07.2020_T4 2 40x14 side A,2.0,2.0,0.0,1.0,0.9999500024998749,0.27197231833910035,0.3566243194192377,0.5339673913043478
IF 4-12.09.19 40x1 T3 tubo 7 (5),2.0,2.0,0.0,0.0,0.9999500024998749,0.8826754385964912,0.9428989751098097,0.9325224442513756
IF TUBI 18.12.2020_DBD 18 A 40X4,3.0,3.0,0.0,1.0,0.9999666677777407,0.8403301886792452,0.9038559107052258,0.9228179228179229
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_LM609+T4 5 lato B 40x12",3.0,2.0,1.0,0.0,0.6666444451851604,0.3862788963460104,0.9236255572065379,0.39902426498908716
IF ADPKD tubules 9-17.10.19 _DBD 32 40X7,2.0,2.0,0.0,1.0,0.9999500024998749,0.8309671694764863,0.905705996131528,0.9096648858669257
IF 4-12.09.19 40x1 T3 tubo 7 (16),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
IF TUBI 18.12.2020_CTRL 6 A 40X28,4.0,4.0,0.0,0.0,0.9999750006249845,0.829685534591195,0.9313753177068624,0.8837084673097535
IF TUBI 18.12.2020_DBD 18 A 40X13,4.0,4.0,0.0,0.0,0.9999750006249845,0.8187258007743752,0.9025999223903765,0.8980694980694981
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  B 40x4",2.0,2.0,0.0,0.0,0.9999500024998749,0.8850182149362478,0.9566822544917548,0.9219639468690702
TUBULI ADPKD 11.12.2020_DBD 3 B 40X6,2.0,2.0,0.0,0.0,0.9999500024998749,0.8818354731336187,0.9225220743688596,0.9523687251251766
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x5",1.0,1.0,0.0,0.0,0.9999000099990001,0.9281221922731356,0.9533917858790956,0.9722352941176471
IF TUBI 18.12.2020_CTRL 6 B 40X24,10.0,10.0,0.0,2.0,0.999990000099999,0.8151442667065331,0.8981222203920277,0.8981961947121324
TUBI 29-30.07.2020_LM609+T4 19 40x5 side B,3.0,2.0,1.0,0.0,0.6666444451851604,0.7666342096721843,0.9825291181364393,0.7772293517604475
TUBULI ADPKD 11.12.2020_DBD+T4 13 B 40X6,4.0,1.0,3.0,0.0,0.24999375015624611,0.6835138387484958,0.922077922077922,0.7254150702426565
IF TUBI 18.12.2020_DBD 18 A 40X32 ,1.0,1.0,0.0,1.0,0.9999000099990001,0.5065381968341363,0.5845909451945989,0.7913978494623656
TUBULI ADPKD 11.12.2020_DBD+T4 13 B 40X7,4.0,3.0,1.0,0.0,0.7499812504687383,0.36520415926959165,0.8535862477771191,0.38961038961038963
IF TUBI 18.12.2020_DBD 18 A 40X26,4.0,1.0,3.0,0.0,0.24999375015624611,0.31861702127659575,0.8681159420289855,0.33482392397987704
TUBULI ADPKD 11.12.2020_DBD 3 A 40X36,5.0,4.0,1.0,1.0,0.7999840003199936,0.8918706168598827,0.940958852397131,0.9447392359005458
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_LM609+T4 5 lato  A 40x2",13.0,7.0,6.0,1.0,0.5384573964815655,0.3546703296703297,0.7817135937026946,0.3936575697514865
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  A 40x4",3.0,3.0,0.0,1.0,0.9999666677777407,0.7883096366508688,0.8625756266205704,0.9015356820234869
IF 4-12.09.19 40x1 CTRL tubo 11 (15),5.0,4.0,1.0,0.0,0.7999840003199936,0.7992206726825266,0.9546790788829005,0.8307397143466212
IF TUBI 18.12.2020_DBD+T4 14 B 40X3,4.0,2.0,2.0,0.0,0.49998750031249223,0.6076993583868011,0.9032697547683923,0.65
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  B 40x9",2.0,1.0,1.0,2.0,0.49997500124993743,0.10075566750629723,0.136332651670075,0.2785515320334262
IF ADPKD tubules 9-17.10.19 _Resv 24 40X21,4.0,3.0,1.0,0.0,0.7499812504687383,0.6370888961250407,0.8769610040340654,0.6996245306633292
TUBI 29-30.07.2020_LM609+T4 19 40x14 side A,1.0,1.0,0.0,31.0,0.9999000099990001,0.0021101354570825675,0.00217666058137902,0.06458333333333334
TUBI 29-30.07.2020_T4 2 40x56 side A,6.0,5.0,1.0,0.0,0.8333194446759221,0.7358834244080146,0.8966391883322765,0.8040943986352005
TUBULI ADPKD 11.12.2020_T4 12 A 40X30,5.0,5.0,0.0,3.0,0.999980000399992,0.551233505450373,0.576987749219313,0.9250914692855767
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_CTRL 17 lato  A 40x3",2.0,2.0,0.0,1.0,0.9999500024998749,0.6182977127859017,0.7495454545454545,0.7793005671077504
TUBI 29-30.07.2020_LM609+T4 19 40x8 side B,11.0,8.0,3.0,0.0,0.727266115762584,0.662706437478935,0.9462223291626564,0.6886437264687856
TUBULI ADPKD 11.12.2020_DBD 3 A 40X49,4.0,4.0,0.0,0.0,0.9999750006249845,0.9138542018224772,0.9301786327722432,0.981157713561011
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X6,9.0,8.0,1.0,0.0,0.8888790124554172,0.652749351889753,0.8851063829787233,0.7131782945736435
TUBULI ADPKD 11.12.2020_DBD 3 A 40X34,18.0,15.0,3.0,4.0,0.8333287037294237,0.8514341750429026,0.9045684221492941,0.9354630178311696
TUBI 29-30.07.2020_LM609+T4 19 40x1 side B,11.0,10.0,1.0,1.0,0.90908264470323,0.5932797827808576,0.9277310924369748,0.6220271632761996
IF ADPKD tubules 9-17.10.19 _Triac 6 40X2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
IF ADPKD tubules 9-17.10.19 _Resv 24 40X13,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
IF ADPKD tubules 9-17.10.19 _T4 15 40X5,6.0,5.0,1.0,0.0,0.8333194446759221,0.66189111747851,0.9406973784678035,0.6907120164455242
IF TUBI 18.12.2020_CTRL 6 B 40X15,8.0,6.0,2.0,1.0,0.7499906251171861,0.7435646790485501,0.9226415094339623,0.7930035908722345
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_LM609+T4 5 lato  A 40x4",5.0,3.0,2.0,0.0,0.5999880002399952,0.45716154349247873,0.7876056338028169,0.5214472211861246
IF 4-12.09.19 40x1 TRIAC tubo 19 (3),1.0,1.0,0.0,0.0,0.9999000099990001,0.8768066070199587,0.9158878504672897,0.9535928143712575
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  B 40x12",4.0,3.0,1.0,3.0,0.7499812504687383,0.4746760895170789,0.5844815083393764,0.7164444444444444
TUBI 29-30.07.2020_T4 2 40x59 side A,3.0,1.0,2.0,0.0,0.3333222225925802,0.2632258064516129,0.9855072463768116,0.26424870466321243
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X6,1.0,1.0,0.0,2.0,0.9999000099990001,0.6490885416666666,0.6847527472527473,0.9257195914577531
TUBI 29-30.07.2020_LM609+T4 19 40x24 side B,10.0,6.0,4.0,2.0,0.5999940000599994,0.520505249343832,0.8411983032873807,0.5772239403310897
IF TUBI 18.12.2020_T4 2 A 40X27,7.0,6.0,1.0,0.0,0.8571306124198226,0.8025371894585819,0.8950648475661108,0.885888138701342
IF TUBI 18.12.2020_CTRL 6 A 40X10,4.0,4.0,0.0,1.0,0.9999750006249845,0.8223368630645307,0.8803410522236217,0.9258202567760342
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X2,8.0,5.0,3.0,1.0,0.6249921875976551,0.4304461942257218,0.6410256410256411,0.567160049799419
TUBI 29-30.07.2020_T4 2 40x17 side B,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
IF 4-12.09.19 40x1 TRIAC tubo 19 (15),5.0,3.0,2.0,0.0,0.5999880002399952,0.7039967539054575,0.9340511440107672,0.7408198121263877
IF TUBI 18.12.2020_DBD 18 B 40X24,6.0,6.0,0.0,1.0,0.9999833336111065,0.6692599037772545,0.8575550891920252,0.752965564896925
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X18,5.0,4.0,1.0,0.0,0.7999840003199936,0.7545560942986123,0.907318053880177,0.817572463768116
IF 4-12.09.19 40x1 CTRL tubo 11 (9),2.0,2.0,0.0,0.0,0.9999500024998749,0.7044261065266316,0.9427710843373494,0.7358934169278997
IF 4-12.09.19 40x1 TRIAC tubo 19 (9),1.0,1.0,0.0,0.0,0.9999000099990001,0.8764845605700713,0.9774834437086093,0.8945454545454545
IF TUBI 18.12.2020_DBD+T4 14 A 40X25,8.0,6.0,2.0,0.0,0.7499906251171861,0.6006999681832644,0.8016985138004247,0.7055306427503737
TUBI 29-30.07.2020_LM609+T4 19 40x10 side A,5.0,4.0,1.0,1.0,0.7999840003199936,0.3901183736489964,0.5753320683111954,0.5478857968919407
IF TUBI 18.12.2020_CTRL 6 B 40X12,2.0,2.0,0.0,0.0,0.9999500024998749,0.824099078126455,0.9431951401470745,0.8671369782480893
IF ADPKD tubules 9-17.10.19 _Resv 24 40X12,1.0,1.0,0.0,0.0,0.9999000099990001,0.7364043506078055,0.9974003466204506,0.7378205128205129
TUBI 29-30.07.2020_LM609+T4 19 40x27 side A,6.0,5.0,1.0,0.0,0.8333194446759221,0.6318104906937394,0.8724299065420561,0.6961222967934377
TUBI 29-30.07.2020_T4 2 40x24 side A,9.0,6.0,3.0,2.0,0.6666592593415629,0.5430785395324402,0.7664504170528267,0.6507711677683349
TUBI 29-30.07.2020_T4 2 40x43 side A,6.0,5.0,1.0,0.0,0.8333194446759221,0.6641279512566641,0.9033149171270718,0.7149494397376333
IF ADPKD tubules 9-17.10.19 _T3 31 40X5,1.0,1.0,0.0,0.0,0.9999000099990001,0.8220930232558139,0.9619047619047619,0.8497596153846154
TUBULI ADPKD 11.12.2020_DBD 3 A 40X50,8.0,7.0,1.0,1.0,0.874989062636717,0.8426474166599075,0.9033913043478261,0.9261009092529863
IF TUBI 18.12.2020_T4 2 B 40X27,3.0,3.0,0.0,0.0,0.9999666677777407,0.8757025507998271,0.9592706606677718,0.9095195330040413
TUBULI ADPKD 11.12.2020_CTRL 11 B 40X19,5.0,5.0,0.0,0.0,0.999980000399992,0.8869247180737581,0.9588138385502472,0.9220532319391636
TUBI 29-30.07.2020_T4 2 40x16 side A,6.0,3.0,3.0,1.0,0.49999166680555324,0.448638063022966,0.8248772504091653,0.49586776859504134
IF ADPKD tubules 9-17.10.19 _DBD 32 40X6,2.0,2.0,0.0,0.0,0.9999500024998749,0.608058608058608,0.9576923076923077,0.6248431618569636
TUBULI ADPKD 11.12.2020_T4 12 A 40X32,7.0,7.0,0.0,4.0,0.999985714489793,0.6766558180819139,0.6992051013277428,0.9545075125208681
TUBULI ADPKD 11.12.2020_T4 12 A 40X6,5.0,3.0,2.0,0.0,0.5999880002399952,0.5685448481657013,0.9331604724863152,0.5926806953339433
TUBI 29-30.07.2020_LM609+T4 19 40x15 side A,7.0,6.0,1.0,6.0,0.8571306124198226,0.6096592097010245,0.7288177955511123,0.7885343428880476
IF ADPKD tubules 9-17.10.19 _DBD 32 40X3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
IF TUBI 18.12.2020_CTRL 6 A 40X14,7.0,5.0,2.0,1.0,0.7142755103498521,0.7713335131732758,0.9094571670907549,0.835492354144346
IF 4-12.09.19 40x1 CTRL tubo 11 (7),1.0,1.0,0.0,0.0,0.9999000099990001,0.8854505971769815,0.9560375146541618,0.923033389926429
TUBI 29-30.07.2020_T4 2 40x25 side A,5.0,5.0,0.0,1.0,0.999980000399992,0.6285021551724138,0.7614229765013055,0.7826232807782624
TUBULI ADPKD 11.12.2020_DBD 3 A 40X2,5.0,4.0,1.0,1.0,0.7999840003199936,0.8869028060721561,0.9498873873873874,0.9304377800758359
IF TUBI 18.12.2020_DBD+T4 14 B 40X4,4.0,2.0,2.0,0.0,0.49998750031249223,0.6322067594433399,0.8717105263157895,0.6970626918018413
IF TUBI 18.12.2020_DBD+T4 14 B 40X11,4.0,4.0,0.0,3.0,0.9999750006249845,0.5931226765799257,0.7396847473342606,0.74958891237961
IF 4-12.09.19 40x1 T3 tubo 7 (10),5.0,4.0,1.0,1.0,0.7999840003199936,0.6888178913738019,0.9456140350877194,0.7172322022621423
IF 4-12.09.19 TETRAC tubo 15 40x1 (1),3.0,3.0,0.0,0.0,0.9999666677777407,0.8724401677769553,0.918918918918919,0.9452018176958032
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO+T4 14 lato B 40x8",1.0,1.0,0.0,0.0,0.9999000099990001,0.8258575197889182,0.9513677811550152,0.8622589531680441
TUBULI ADPKD 11.12.2020_DBD 3 B 40X31,8.0,7.0,1.0,2.0,0.874989062636717,0.7427585485726237,0.8321227741330834,0.8736777367773678
TUBI 29-30.07.2020_T4 2 40x31 side A,3.0,3.0,0.0,0.0,0.9999666677777407,0.8123612771043196,0.9087089381207029,0.8845510317902956
TUBI 29-30.07.2020_LM609+T4 19 40x12 side B,7.0,4.0,3.0,2.0,0.5714204082798817,0.49775507044434125,0.814749113025849,0.5612779329608939
IF TUBI 18.12.2020_CTRL 6 A 40X4,2.0,2.0,0.0,0.0,0.9999500024998749,0.7650602409638554,0.9477611940298507,0.7987421383647799
TUBI 29-30.07.2020_T4 2 40x21 side B,1.0,1.0,0.0,5.0,0.9999000099990001,0.3889828460980913,0.4106095383830655,0.8807439824945296
IF TUBI 18.12.2020_CTRL 6 A 40X19,3.0,2.0,1.0,2.0,0.6666444451851604,0.7749891821722198,0.8268698060941828,0.925103305785124
TUBULI ADPKD 11.12.2020_DBD 3 A 40X29,6.0,6.0,0.0,1.0,0.9999833336111065,0.650048309178744,0.7680365296803653,0.8088482808367397
IF TUBI 18.12.2020_DBD+T4 14 A 40X31,3.0,3.0,0.0,0.0,0.9999666677777407,0.7863013698630137,0.9050059124950729,0.8570362075401269
TUBI 29-30.07.2020_LM609+T4 19 40x13 side A,5.0,3.0,2.0,17.0,0.5999880002399952,0.0692609611334482,0.07274281118037403,0.5913363302002452
TUBULI ADPKD 11.12.2020_T4 12 A 40X9,7.0,5.0,2.0,0.0,0.7142755103498521,0.5502989342344684,0.8394131641554322,0.6150493898895991
IF TUBI 18.12.2020_CTRL 6 B 40X9,2.0,2.0,0.0,1.0,0.9999500024998749,0.8440065681444991,0.939327485380117,0.8926710663424801
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato B 40x11",4.0,3.0,1.0,1.0,0.7499812504687383,0.2772682607271536,0.8762939958592133,0.28856314982103287
TUBULI ADPKD 11.12.2020_T4 12 B 40X4,5.0,4.0,1.0,0.0,0.7999840003199936,0.8060063809127479,0.9045691601152019,0.8809126743480897
TUBI 29-30.07.2020_LM609+T4 19 40x26 side A,2.0,1.0,1.0,0.0,0.49997500124993743,0.3016949152542373,0.978021978021978,0.3037542662116041
IF TUBI 18.12.2020_CTRL 6 B 40X1,2.0,1.0,1.0,0.0,0.49997500124993743,0.5237592397043295,0.9134438305709024,0.5511111111111111
IF 4-12.09.19 CTRL tubo 21 40x1  (2),4.0,3.0,1.0,0.0,0.7499812504687383,0.503877686682916,0.9150905432595573,0.5285913528591353
IF TUBI 18.12.2020_DBD+T4 14 A 40X17,6.0,4.0,2.0,0.0,0.6666555557407376,0.6646913580246914,0.8902116402116402,0.7240451855836472
TUBI 29-30.07.2020_T4 2 40x55 side A,5.0,3.0,2.0,1.0,0.5999880002399952,0.46166529266281947,0.778138026864289,0.5316455696202531
TUBI 29-30.07.2020_T4 2 40x52 side A,4.0,2.0,2.0,0.0,0.49998750031249223,0.5133203378817414,0.9261430246189918,0.535230352303523
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_LM609+T4 5 lato B 40x14",3.0,2.0,1.0,0.0,0.6666444451851604,0.7892882311486963,0.9556313993174061,0.8193123628383321
IF TUBI 18.12.2020_CTRL 6 B 40X41,6.0,4.0,2.0,0.0,0.6666555557407376,0.8725407925407925,0.9364555188632042,0.9274529236868186
TUBULI ADPKD 11.12.2020_CTRL 11 A 40X12,2.0,2.0,0.0,0.0,0.9999500024998749,0.8938010571840461,0.9084249084249084,0.9823078954317401
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato  A 40x12",2.0,2.0,0.0,1.0,0.9999500024998749,0.712339137017411,0.7540064102564102,0.928007889546351
TUBI 29-30.07.2020_T4 2 40x4 side A,4.0,3.0,1.0,0.0,0.7499812504687383,0.6855840927920464,0.9297752808988764,0.7230231542158148
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato B 40x13",5.0,3.0,2.0,0.0,0.5999880002399952,0.3215049166310389,0.947103274559194,0.32738354375272094
IF TUBI 18.12.2020_CTRL 6 A 40X16,7.0,4.0,3.0,2.0,0.5714204082798817,0.5932107496463932,0.7709558823529412,0.7201236263736264
TUBULI ADPKD 11.12.2020_DBD+T4 13 B 40X9,4.0,2.0,2.0,0.0,0.49998750031249223,0.6648648648648648,0.8997418244406197,0.7180631868131868
TUBI 29-30.07.2020_T4 2 40x35 side A,2.0,2.0,0.0,0.0,0.9999500024998749,0.6659012629161883,0.9309791332263242,0.7004830917874396
IF ADPKD tubules 9-17.10.19 _CTRL 2 40X7,1.0,1.0,0.0,0.0,0.9999000099990001,0.4074074074074074,0.9969788519637462,0.4079110012360939
IF ADPKD tubules 9-17.10.19 _T3 31 40X1,3.0,3.0,0.0,0.0,0.9999666677777407,0.9011036572170525,0.9489516864175023,0.9470093245394587
TUBI 29-30.07.2020_T4 2 40x18 side A,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TUBI 29-30.07.2020_LM609+T4 19 40x9 side B,10.0,6.0,4.0,2.0,0.5999940000599994,0.3714844174177435,0.8670637435052592,0.39392020265991134
TUBULI ADPKD 11.12.2020_DBD 3 A 40X33,14.0,11.0,3.0,1.0,0.7857086735094749,0.8290990355210539,0.916347091322717,0.8969905198193039
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_UO 12 lato  B 40x11",8.0,8.0,0.0,1.0,0.999987500156248,0.8156378600823045,0.8976449275362319,0.8992740471869328
TUBULI ADPKD 11.12.2020_DBD+T4 13 A 40X14,3.0,3.0,0.0,0.0,0.9999666677777407,0.8830366872502724,0.9683330013941446,0.9092949317374228
"ADPKD tubi CTRL, T4, LM609+T4, UO, UO+T4 p-ERK 2-3.09.2020_T4 16 lato B 40x9",4.0,3.0,1.0,0.0,0.7499812504687383,0.5208191126279863,0.9105011933174224,0.5489208633093525
IF TUBI 18.12.2020_CTRL 6 A 40X36,3.0,3.0,0.0,1.0,0.9999666677777407,0.6501979181938132,0.7047513109804545,0.8936127342333267
